user_id,date_of_activation,login_count,total_vault_events,time_to_activate
c16805f31723c4628121655eb3b6b9b8,2020-01-01,7.0,16.0,273.0
eeb5138977d2e18f2f9071624e4d5757,2020-01-01,0.0,1.0,4840.0
6022e854c088ffa1f2a04dfad4d05e3f,2020-01-01,3.0,10.0,2346.0
5992c483bdab1c36edb7e9ceaea01af0,2020-01-01,5.0,16.0,3517.0
4c8fd2ea8b8897f45219c9d5a4e3b11c,2020-01-01,8.0,27.0,1867.0
f096ca1fa119bef81a7a0c0910950d89,2020-01-01,3.0,15.0,6166.0
8ef95bcfac042e26606bbb24a901c409,2020-01-01,3.0,18.0,5078.0
2c1748a7fa88a91931038a0f9850ecc2,2020-01-01,8.0,24.0,13133.0
ed1d2d4ac2e0dfe9d5916012666511e2,2020-01-01,1.0,3.0,159.0
229269f5b960ab73d14ccbaa1c534ce6,2020-01-01,2.0,9.0,1272.0
856616def89fc23b6aee9b0b1e72ddd6,2020-01-01,0.0,4.0,698.0
1e8a5a79113574fc2fc2cbbf042c2f97,2020-01-01,4.0,16.0,4718.0
ddff36651da6210461e0e17b8dd86223,2020-01-01,10.0,27.0,7501.0
556e6aa8a5c2f9acfc67c86da6294a03,2020-01-01,2.0,7.0,15826.0
ef36225f7a0e52a03575820e7926fc1f,2020-01-01,8.0,21.0,9621.0
5643041074a0e967f920995bff12173c,2020-01-01,6.0,19.0,6574.0
3eb5c110add32e2aa5b421182f433ca6,2020-01-01,0.0,3.0,3618.0
8eb7ab47593af28577a5668debda9d8a,2020-01-01,4.0,12.0,2271.0
0c829747e3d91659b35266507683072b,2020-01-01,8.0,18.0,8047.0
4ea06d22a4d08fed0d9fe0a74d7cfe13,2020-01-01,1.0,2.0,5143.0
631125b31f1fe4bdf53acbaf1787f8fc,2020-01-01,1.0,6.0,9666.0
2a61e87c5d290a0d3fd797792f5948d1,2020-01-01,9.0,31.0,6255.0
0d8b4c10189ecf95729b7219826ef750,2020-01-01,10.0,16.0,2487.0
5b32cf54b2f8602fe2be33dd5dc7e1f8,2020-01-01,2.0,7.0,112.0
553a8a81fb87e8ed35f488edbf9efe67,2020-01-01,7.0,11.0,9905.0
b94f4dd456ae5e8d6bd779dedfff50b4,2020-01-01,7.0,14.0,30659.0
070292c8307f41c18e02bb8cd09cfff3,2020-01-01,1.0,3.0,39487.0
c784798b5d179ca695a405f2c737797b,2020-01-01,3.0,12.0,39770.0
e5d5fb877075744752cb98e7ded69d73,2020-01-01,3.0,13.0,9486.0
ff5d805b5e93563f4f10fefc16c0ad35,2020-01-01,2.0,11.0,14079.0
f4a262aec16cfeb8240be677bd50cf3c,2020-01-01,10.0,17.0,9473.0
5b7421c27c595781f4d040032dca87e4,2020-01-01,5.0,13.0,11977.0
f8eb13053647356d68905c8a4d885db6,2020-01-01,2.0,2.0,11431.0
b6efd8cb0793a4610b32f6f6073918c9,2020-01-01,8.0,26.0,22187.0
627142249b8035117d2aa0d1835f6c02,2020-01-01,3.0,13.0,33971.0
366f4f5435a6f6b03e152a01e1e0f5b1,2020-01-01,2.0,6.0,13432.0
79f1e925c90d79ff041de4fc1a2491c1,2020-01-01,6.0,9.0,19339.0
b928de8e2390f173c961dfbee41778d4,2020-01-01,0.0,,982.0
130cc9747c5709a91522fd94fd7d8007,2020-01-01,1.0,3.0,3740.0
cb10578666bb01329302ae6aae34afaf,2020-01-01,0.0,,8039.0
53f3cb5d547b30b0512970e66074a40c,2020-01-01,9.0,21.0,31305.0
ddcf52a13468b85b01965b45229b34e7,2020-01-01,2.0,6.0,19149.0
86386bf03adbbc0898a01843110d5cf3,2020-01-01,0.0,2.0,5630.0
933ea0d256572d908084c22def18424f,2020-01-01,0.0,3.0,39836.0
62a75a590341442ce595205ad56cb6eb,2020-01-01,3.0,13.0,19416.0
a0876873942072b4057f4bd1178edad1,2020-01-01,8.0,19.0,21880.0
594609b766a6201beda0cf95f6672964,2020-01-01,0.0,2.0,12344.0
99c86625cfa4d4b0dd20f555ec3d937d,2020-01-01,6.0,17.0,4401.0
2983300cc2afc57408ccee7840301a26,2020-01-01,2.0,8.0,4764.0
9e61ca40815cf4ae2da2f75a2e2aa673,2020-01-01,3.0,10.0,5759.0
67af4c1690f0ee6ad65d03cfeaaf1532,2020-01-01,2.0,6.0,11022.0
19158ba7dcb71601ec2d41c22d5e7225,2020-01-01,6.0,16.0,5683.0
92467b096f201259bd5373f947d4166c,2020-01-01,8.0,25.0,1629.0
c99f0ed4fb5a8d3b33689f71262c5db9,2020-01-01,0.0,4.0,2123.0
81d87fb363bfe2cdb2b2e1d749efe165,2020-01-01,7.0,22.0,17204.0
479f849fce579c299ffc9ab180293c73,2020-01-01,6.0,26.0,1117.0
91ed1d20670d8ec7a41fda75811a6157,2020-01-01,8.0,11.0,10525.0
f2a762a3e95e46f8db126d809e22a4fb,2020-01-01,6.0,14.0,24815.0
91c15459da260853e2580eb2c12293d7,2020-01-01,3.0,5.0,7950.0
d01d71fc6221502c8eeeace9cb4aa01d,2020-01-01,9.0,24.0,5607.0
35ec8d997e035d9a7ca103654661f4d9,2020-01-01,0.0,2.0,58960.0
7228aced0386d1be6984dce351fc182e,2020-01-01,6.0,16.0,56263.0
b3b5e73780ec29385d4cb473100ed6c8,2020-01-01,8.0,23.0,21172.0
9be4d263d5a844babb3ae9ae6618d44b,2020-01-01,8.0,41.0,17410.0
76134d59a83e8184eb113ef64226fe35,2020-01-01,8.0,32.0,4591.0
b4ca6795ce16f2ce2789130b99ae67a5,2020-01-01,2.0,10.0,3164.0
85b4ea492e1a9c80127cb9b9e9f0081b,2020-01-01,10.0,28.0,2579.0
ae71f911ffb01b0e65e10848a4a03106,2020-01-01,7.0,20.0,8098.0
185f86ded74cf8b8a47aaa14ba83ffe8,2020-01-01,7.0,23.0,28780.0
f23ede14f6de6bc1c8e97d212b7d5295,2020-01-01,9.0,19.0,37243.0
a62534ef8efd6e3c5b31ba1221da8dd6,2020-01-01,7.0,24.0,14875.0
e2b59161ebdcc91f3b13a6a7ca96ed85,2020-01-01,6.0,25.0,21799.0
07aeba0aa496a02912a2ec8ee96bcf62,2020-01-01,5.0,22.0,45568.0
4b1c7abf2c4280f3d35c54e7143f356f,2020-01-01,8.0,20.0,46175.0
d4c73118f46e5c1f9f22e0d1b4aef766,2020-01-01,1.0,4.0,5898.0
51612e6629d616ce61176555e4a427e1,2020-01-01,3.0,8.0,22205.0
2e5e732f51b6f273188e34238db68574,2020-01-01,9.0,25.0,1911.0
cae8b1a7cea46fb37e2e3feb0fc4d740,2020-01-01,10.0,38.0,39934.0
51608fffea8ec390b22d87dc163bbf77,2020-01-01,10.0,29.0,10136.0
7b9b9ba27ba5132ecd3d96ed5575d4f5,2020-01-01,5.0,18.0,8707.0
0ab63f256c789291f878852a7196e0cd,2020-01-01,6.0,16.0,7022.0
e60f0a38c8e42d6772bf9abe3b98271f,2020-01-01,0.0,,21281.0
1fa16575645e86a3e15cb580a6781982,2020-01-01,9.0,18.0,40081.0
74695a46c54f7239d93340d3108d7fee,2020-01-01,0.0,4.0,8186.0
b04b82e61e0d9866fcf6b3f040900589,2020-01-01,2.0,13.0,35448.0
43d1342e1f67ffdaa26e171662dd4326,2020-01-01,1.0,2.0,15042.0
ac3a014fb4cf2ffd90b18a327866529d,2020-01-01,1.0,7.0,12857.0
90c78bc5307525f1e56fd1b3d5161283,2020-01-01,10.0,35.0,50091.0
e83d7884f6e6ef5fe11dc2aad0f9df0c,2020-01-01,6.0,14.0,4975.0
c25c38b253c5b8475ebc8140e2db5a8e,2020-01-01,10.0,21.0,297.0
e01a8ee0dfceb3452932e5e3e02f84ff,2020-01-02,2.0,6.0,41416.0
df1b2f79a44bba7ea52a89c0ed982ec2,2020-01-02,0.0,3.0,7046.0
d71f2f992a1571a3584d7d81b5579e39,2020-01-02,3.0,10.0,36342.0
916a6ebb6e711e5c74f42ee0feaed0ba,2020-01-02,0.0,5.0,24582.0
13bdc1dc08f52931cee6bbf0d2de0b65,2020-01-02,3.0,11.0,18994.0
12ccf6a8724588df4bf647278c822929,2020-01-02,3.0,11.0,9376.0
55be3f9204847b3107c3273d33b9c186,2020-01-02,0.0,4.0,32237.0
eefd5ef0f02d1c4fc4a2a7713521173c,2020-01-02,10.0,36.0,36623.0
2576c582a79b20d4a4f16ff1fed3d9e5,2020-01-02,10.0,25.0,5004.0
0ce5a014336bcf890d2de773c45dff4e,2020-01-02,3.0,7.0,1876.0
a94d49672d5f80ac2043fb8b93998c61,2020-01-02,5.0,13.0,17503.0
37d12aa268a5640a70046722a9a193ab,2020-01-02,0.0,,44565.0
d0821d2c8023b2711ddd0f1a2dc236d3,2020-01-02,2.0,8.0,32556.0
6f7a3395e17955adf2bbb518d7249337,2020-01-02,10.0,32.0,35650.0
361b57fd864ae74bb12cc20d8bf6d9a6,2020-01-02,2.0,6.0,26783.0
4f42abad469ab2132cd4ad7dbcebf444,2020-01-02,9.0,14.0,21510.0
c247b5b6b4faa4a696ef48fb694b48a1,2020-01-02,9.0,12.0,57601.0
814960f87ba0d18debed16f4543f50d6,2020-01-02,6.0,22.0,43158.0
5493b267b33627d40b5bc6e7c4b22a32,2020-01-02,9.0,22.0,27.0
df624c1d4bb3be2905fb57833c5bc0f6,2020-01-02,9.0,25.0,5547.0
f789f5e5fdd394ece0db6961e0cc7fca,2020-01-02,5.0,13.0,45166.0
2de8a3a491ca2b70c1115401b20ddd4c,2020-01-02,1.0,6.0,8440.0
f022f84022cca196ed99d0ac1e202bc4,2020-01-02,5.0,24.0,45563.0
ab4d480921152b11086af0c7b5a2abbb,2020-01-02,1.0,6.0,44469.0
cb9394661ad63cf241c1932e76a80131,2020-01-02,6.0,16.0,9037.0
61059f501799ec1239158cf1977d7a4c,2020-01-02,9.0,27.0,12577.0
250d7da6b42cbf2a8c503bf56ce9ea92,2020-01-02,2.0,6.0,34262.0
f030f7023a2a506c16ffd0a6afcabebe,2020-01-02,10.0,27.0,72337.0
bb1514039b2dfc00b23eb3f6b456c486,2020-01-02,4.0,18.0,19933.0
5c2032e537fdacbe47deafaf07ede99e,2020-01-02,9.0,29.0,70372.0
